Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

ADDRESS: If   <| LA |>   had   --   [1155 N LA BREA AVENUE]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: at   <| AIFS |>   as   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY:    <| Advanced |>   Search   --   [ADVANCE INDUSTRIAL COMPUTER]  {aicipc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 11
COMPANY: and   <| AIDS |>   pursue   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Locking   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY:    <| AIFS |>   will   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 3
COMPANY:    <| Compute |>   nodes   --   [ADVANCE INDUSTRIAL COMPUTER]  {aicipc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: The   <| Southern |>   New   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: training   <| for |>   a   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: gourmet   <| sausage |>   recipe   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: improving   <| Indian |>   Education   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Market   <| Street |>   ,   --   [856 STANYAN STREET]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| Grove |>   the   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 328X.562X.032   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY:    <| Aidex |>   is   --   [AIDEX CORP]  {aidex.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: proven   <| Montessori |>   method   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: three   <| schools , the Alabama |>   School   --   [HELEN KELLER SCHOOL OF ALABAMA]  {aidb.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS: ,   <| nw |>   okc   --   [2520 NW 23RD STREET]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY:    <| Hardware |>      --   [ARIZONA INDUSTRIAL HARDWARE]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: champions   <| for |>   life   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: '   <| s |>   work   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 12
COMPANY: is   <| a |>   12   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: authentic   <| italian fine dining restaurant |>   centrally   --   [AIELLO 'S ITALIAN RESTAURANT]  {aiellosrestaurant.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: recognized   <| Indian |>   tribes   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Materials   <| for Cancer |>   Patients   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 20
COMPANY: about   <| AIC |>   .   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: live   <| audio |>   .   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| AIH |>   will   --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
COMPANY: and   <| AIFS |>   does   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: the   <| Grove |>   ’   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: of   <| Americans |>   learn   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: '   <| s |>   life   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: -   <| AIFS |>   Partners   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 3
ADDRESS: Plate   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: ,   <| American |>   Hospital   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CITY: Create   <| New |>   Account   --   [NEW YORK]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
ADDRESS: EDA   <| University |>   Center   --   [2801 S UNIVERSITY AVENUE]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 19
COMPANY: Custom   <| embroidery |>   ,   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Spline   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 52
COMPANY: Our   <| legal |>   team   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   in   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 24
ADDRESS: as   <| well |>   as   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: responsible   <| for |>   supporting   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| AL |>   35160-2339   --   [AL INSTITUTE FOR DEAF]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Census Data |>      --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 9
COMPANY: in   <| audio |>   ,   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: or   <| legal |>   training   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: System   <| Design |>   &   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Torx   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: 016   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: to   <| Alabama |>   in   --   [ALABAMA INSTITUTE-DEAF-BLIND]  {aidb.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: '   <| s |>   New   --   [1415 S BRADLEY ROAD]  {aii.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 5
COMPANY: public   <| health |>   around   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| Task |>   Force   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: B-   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 16
COMPANY: of   <| a |>   corporation   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| Indians |>   throughout   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Arizona |>   fastener   --   [ARIZONA INDUSTRIAL HARDWARE]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Illinois   <| AIDS |>   /   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   4-40X1   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Dry   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: /   <| AIDS |>   status   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: |   <| Aidex |>      --   [AIDEX CORP]  {aidex.com} REASON:ONLY_ONE_WORD    Occurrence: 8
COMPANY: END   <| AIDS |>   (   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: recruit   <| American Indian |>   students   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: ,   <| industrial |>   ,   --   [AMERICAN INDUSTRIAL CONTRACTIN]  {aicpittsburgh.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: support   <| AIFS |>   programs   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY:    <| AIFS |>   Study   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 3
COMPANY: new   <| insurance |>   policy   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Instruments   <| Inc. |>   ,   --   [ANALYTICAL INDUSTRIES INCORPORATION]  {aii1.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: airplane   <| title |>   search   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: (   <| in |>   three   --   [ADVENTURES IN CREATIVITY]  {aiconline.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Lgth   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Ring   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: the   <| legal |>   needs   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: /   <| AIDS |>   Content   --   [AIDS DELAWARE]  {aidsdelaware.org} REASON:ONLY_ONE_WORD    Occurrence: 5
COMPANY: is   <| for |>   educational   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Maria   <| Montessori |>      --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: 16-16X.312   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: FHCS   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
CONTACT: &   <| Rick |>   Frautschi   --   [Rick Pavich]  {aidsmemorial.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: the   <| title |>   search   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| Institute |>   with   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| insurance |>   industry   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Order   <| Title |>   Search   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
ADDRESS: 125X.312X.032   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: '   <| s |>   Advocacy   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| for |>   expectant   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: /   <| AIDS |>   News   --   [AIDS ALABAMA]  {aidsalabama.org} REASON:ONLY_ONE_WORD    Occurrence: 1
CITY: wellness   <| industry |>   .   --   [CITY OF INDUSTRY]  {aidp.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: ,   <| AIDS |>   Run   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   FY12   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CONTACT: ,   <| Jeff |>   has   --   [Jeff Vollandt]  {aidfirst.net} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: jobs   <| for blind |>   men   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS: '   <| s |>   residential   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Wash   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| names |>   of   --   [NAMES PROJECT FOUNDATION]  {aidsquilt.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: to   <| data |>   ;   --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: aviation   <| title |>   and   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Self-Sealing   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Captive   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: :   <| data |>   ,   --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: and   <| AIDS |>      --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Destination |>   Manager   --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: home   <| insurance |>   okc   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   and   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| friedman |>   ,   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: program   <| for |>   many   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| Alabama |>   Legislature   --   [ALABAMA INSTITUTE-DEAF-BLIND]  {aidb.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: /   <| S |>   A2-50   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: required   <| First |>   Aid   --   [AID FIRST]  {aidfirst.net} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: testing   <| library |>   ,   --   [LIBRARY AND RESOURCE CENTER]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| Aidells |>   .   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY:    <| Embroidery |>      --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
COMPANY: your   <| insurance |>   protection   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CITY: with   <| industry |>   leading   --   [CITY OF INDUSTRY]  {aicipc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   .   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: ’   <| s |>   health   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Captivated   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Native   <| American |>   Journalist   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 316   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 158
COMPANY: ,   <| Alabama |>   Retail   --   [ALABAMA INSURANCE EXCHANGE INCORPORATION]  {aieins.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: Pacific   <| Inc. |>   ,   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Phil   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 118
ADDRESS: ’   <| s |>   ears   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: assist   <| school |>   systems   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: not   <| legal |>   advice   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: A4   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 58
ADDRESS: ’   <| s |>   Research   --   [2801 S UNIVERSITY AVENUE]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 9
ADDRESS: 8   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 74
COMPANY: of   <| Health |>   to   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: (   <| for |>   deafblind   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: World   <| Health |>   Organization   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Aviation   <| Title |>   ,   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: out   <| for |>   the   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Destinations |>      --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 12
COMPANY: First   <| Aid |>   Training   --   [AID FIRST]  {aidfirst.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Helen   <| Keller |>   who   --   [HELEN KELLER SCHOOL OF ALABAMA]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: WITH   <| LEGAL |>   QUESTIONS   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 2In   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Brass   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 48
COMPANY: for   <| health |>   (   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: by   <| AIDS |>      --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: through   <| AIDP |>   .   --   [AIDP INCORPORATION]  {aidp.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: High   <| School |>   ,   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: ’   <| s |>   video   --   [6460 S 6TH STREET ROAD]  {aiec.coop} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY:    <| AIDS Alliance |>   Home   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS: Button   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
ADDRESS: /   <| S |>   Taptite   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 12
COMPANY: from   <| AIDS |>   are   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: ’   <| s |>   presentation   --   [6460 S 6TH STREET ROAD]  {aiec.coop} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: improve   <| health |>   outcomes   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Nations   <| Higher |>   Education   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   clients   --   [AIDS DELAWARE]  {aidsdelaware.org} REASON:ONLY_ONE_WORD    Occurrence: 2
CONTACT: a   <| Gentry |>   Circle   --   [Marilyn Gentry]  {aicr.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: ’   <| s |>   nerve   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| AIDS |>   pandemic   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Northwest   <| Indian |>   College   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: (   <| Name |>   of   --   [NAMES PROJECT FOUNDATION]  {aidsquilt.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| analytical industries |>   ,   --   [ANALYTICAL INDUSTRIES INCORPORATION]  {aii1.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: ,   <| Health |>   Resources   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 12-28X.170   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| AIDS |>   epidemic   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Nylon   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 124
ADDRESS: 2020   <| W. Harrison Street |>   ,   --   [188 W RANDOLPH STREET # 2400]  {aidslegal.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: train   <| health |>   and   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Family   <| Health |>   and   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Apple   <| Sausage |>   with   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CONTACT:    <| William |>   Wrightson   --   [William L Gertz]  {aifs.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 304   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| audio |>   field   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
